date ,stream,variable,value
2017-12-05,QPB,DOC,3.58
2017-12-12,QPB,DOC,1.56
2017-12-19,QPB,DOC,4.47
2017-12-26,QPB,DOC,NA
2018-01-02,QPB,DOC,1.45
2018-01-09,QPB,DOC,2.06
2018-01-16,QPB,DOC,0.98
2018-01-23,QPB,DOC,1.02
2018-01-30,QPB,DOC,0.91
2018-02-06,QPB,DOC,1.28
2018-02-13,QPB,DOC,1.92
2018-02-20,QPB,DOC,2.52
2018-02-27,QPB,DOC,1.15
2018-03-06,QPB,DOC,0.66
2018-03-13,QPB,DOC,1.09
2018-03-20,QPB,DOC,0.95
2018-03-27,QPB,DOC,0.91
2018-04-03,QPB,DOC,0.91
2018-04-10,QPB,DOC,1.15
2018-04-17,QPB,DOC,2.64
2018-04-24,QPB,DOC,1.34
2018-05-01,QPB,DOC,0.85
2018-05-08,QPB,DOC,1.78
2018-05-15,QPB,DOC,2.11
2018-05-22,QPB,DOC,1.42
2018-05-29,QPB,DOC,1.26
2018-06-05,QPB,DOC,0.76
2018-06-12,QPB,DOC,2.77
2018-06-19,QPB,DOC,0.84
2018-06-26,QPB,DOC,0.99
2018-07-03,QPB,DOC,0.89
2018-07-10,QPB,DOC,2.13
2018-07-17,QPB,DOC,1.98
2018-07-24,QPB,DOC,NA
2018-07-31,QPB,DOC,1.79
2018-08-07,QPB,DOC,2.06
2018-08-14,QPB,DOC,1.94
2018-08-21,QPB,DOC,2.33
2018-08-28,QPB,DOC,2.3
2018-09-04,QPB,DOC,NA
2018-09-11,QPB,DOC,0.18
2018-09-18,QPB,DOC,0.69
2018-09-25,QPB,DOC,NA
2018-10-02,QPB,DOC,1.06
2018-10-09,QPB,DOC,NA
2018-10-16,QPB,DOC,2.62
2018-10-23,QPB,DOC,1.75
2018-10-30,QPB,DOC,NA
2018-11-06,QPB,DOC,1.26
2018-11-13,QPB,DOC,3.19
2018-11-20,QPB,DOC,0.73
2018-11-27,QPB,DOC,0.99
2018-12-04,QPB,DOC,1.06
2018-12-11,QPB,DOC,0.86
2018-12-18,QPB,DOC,1
2018-12-25,QPB,DOC,1.81
2017-01-03,QPB,DIC,2.62
2017-01-10,QPB,DIC,3.53
2017-01-17,QPB,DIC,1.21
2017-01-24,QPB,DIC,3.57
